sample_id,week,date,pH,viscosity,color_delta,temperature,humidity
S-B-001,3,2025-02-21,7.06,11970,0.572,23.8,52.5
S-C-002,3,2025-02-21,6.77,12272,0.351,25.2,52.9
S-D-003,3,2025-02-21,6.92,12096,0.545,24.2,53.2
S-B-004,3,2025-02-21,7.29,12612,1.26,23.7,53.3
S-A-005,3,2025-02-21,6.79,11578,0.502,23.8,46.2
S-B-006,3,2025-02-21,6.81,12083,0.782,24.2,52.6
S-D-007,3,2025-02-21,6.96,12320,1.584,25.3,46.3
S-D-008,3,2025-02-21,6.89,11862,0.978,24.3,50.3
S-B-009,3,2025-02-21,6.98,12029,0.518,25.4,52.5
S-A-010,3,2025-02-21,6.97,12119,0.582,25.3,45.8
S-B-011,3,2025-02-21,7.08,11530,1.275,24.3,48.5
S-B-012,3,2025-02-21,6.88,12782,1.063,25.2,51.8
S-C-013,3,2025-02-21,7.1,,1.229,24.4,51.4
S-B-014,3,2025-02-21,6.73,12292,0.466,25.0,50.3
S-C-015,3,2025-02-21,7.03,12253,0.541,23.6,54.0
S-B-016,3,2025-02-21,6.79,12051,0.575,23.5,48.2
S-A-017,3,2025-02-21,5.77,12058,0.224,24.5,44.2
S-D-018,3,2025-02-21,6.88,12327,0.864,23.5,53.5
S-A-019,3,2025-02-21,6.98,11615,0.84,24.6,53.8
S-D-020,3,2025-02-21,6.99,12439,0.845,23.9,45.6
S-A-021,3,2025-02-21,6.94,12186,0.937,25.4,50.2
S-C-022,3,2025-02-21,,12521,1.032,24.1,54.3
S-C-023,3,2025-02-21,7.05,12302,1.407,25.3,48.6
S-D-024,3,2025-02-21,6.79,11739,1.429,24.0,45.0
S-B-025,3,2025-02-21,6.82,12025,1.415,24.1,51.2
S-C-026,3,2025-02-21,7.06,11643,1.11,25.3,51.4
S-A-027,3,2025-02-21,7.14,12294,0.43,24.9,55.4
S-D-028,3,2025-02-21,7.15,12209,0.932,25.1,48.4
S-B-029,3,2025-02-21,6.79,11439,0.429,24.6,50.4
S-B-030,3,2025-02-21,7.13,12166,0.877,23.9,50.2
S-C-031,3,2025-02-21,6.92,11900,0.43,25.5,46.4
S-B-032,3,2025-02-21,6.8,12361,0.642,23.7,52.2
S-C-033,3,2025-02-21,6.9,11733,0.815,23.8,52.5
S-C-034,3,2025-02-21,,12245,1.085,23.8,53.5
S-C-035,3,2025-02-21,6.53,12274,1.47,23.6,48.8
S-D-036,3,2025-02-21,7.18,12167,0.161,23.6,55.7
S-C-037,3,2025-02-21,7.15,12506,0.395,25.0,45.5
S-A-038,3,2025-02-21,6.89,11846,0.861,23.8,55.2
S-C-039,3,2025-02-21,7.01,11912,0.565,23.8,47.6
S-B-040,3,2025-02-21,6.81,11768,0.612,23.8,51.5
S-A-041,3,2025-02-21,6.97,12035,1.45,24.7,51.8
S-A-042,3,2025-02-21,7.01,11678,0.907,24.1,55.5
S-D-043,3,2025-02-21,6.93,12211,1.3,24.5,46.4
S-C-044,3,2025-02-21,7.01,12040,0.11,25.5,45.6
S-C-045,3,2025-02-21,6.95,12253,0.691,23.6,55.3
S-B-046,3,2025-02-21,6.98,12371,0.041,24.9,46.3
S-D-047,3,2025-02-21,6.82,12102,1.854,24.5,55.6
S-A-048,3,2025-02-21,7.0,,1.429,25.2,52.1
S-A-049,3,2025-02-21,6.67,12361,0.804,24.2,48.8
S-C-050,3,2025-02-21,6.7,12418,1.111,25.0,47.4
S-A-051,3,2025-02-21,5.42,12197,1.409,24.2,45.7
S-A-052,3,2025-02-21,6.93,12256,0.961,24.2,49.7
S-B-053,3,2025-02-21,6.85,12464,1.539,25.0,47.6
S-D-054,3,2025-02-21,7.34,12035,0.574,25.1,48.4
S-C-055,3,2025-02-21,7.02,11638,0.865,24.4,55.6
S-B-056,3,2025-02-21,6.92,12029,0.379,23.8,51.5
S-B-057,3,2025-02-21,7.0,11898,0.342,23.9,49.3
S-B-058,3,2025-02-21,6.85,11661,1.269,25.3,54.5
S-B-059,3,2025-02-21,6.76,12054,1.356,24.3,55.5
S-C-060,3,2025-02-21,6.95,11829,0.181,24.9,53.6
S-B-061,3,2025-02-21,6.93,12348,1.96,25.0,52.5
S-D-062,3,2025-02-21,6.8,11693,1.658,25.1,47.3
S-D-063,3,2025-02-21,7.07,11916,0.512,23.8,44.5
S-D-064,3,2025-02-21,7.16,11822,0.349,23.9,53.9
S-C-065,3,2025-02-21,7.08,12415,0.645,24.8,50.4
S-D-066,3,2025-02-21,6.89,11936,1.296,24.9,45.6
S-B-067,3,2025-02-21,6.66,12487,1.229,23.9,55.6
S-A-068,3,2025-02-21,,11974,0.662,25.0,54.2
S-D-069,3,2025-02-21,7.02,11974,2.099,24.3,49.9
S-C-070,3,2025-02-21,6.7,12129,0.862,24.6,45.3
S-D-071,3,2025-02-21,7.01,11996,0.581,25.1,48.0
S-B-072,3,2025-02-21,6.95,12370,0.932,24.1,52.1
S-D-073,3,2025-02-21,7.03,11780,1.409,23.9,45.7
S-C-074,3,2025-02-21,7.07,11857,1.191,24.0,48.0
S-C-075,3,2025-02-21,6.82,11720,1.086,24.1,48.9
S-C-076,3,2025-02-21,6.98,11943,0.369,25.4,48.4
S-D-077,3,2025-02-21,7.09,12508,0.573,24.6,49.6
S-B-078,3,2025-02-21,6.85,12133,0.298,24.7,53.4
S-C-079,3,2025-02-21,7.12,12282,1.366,24.5,50.9
S-D-080,3,2025-02-21,7.02,12251,1.081,24.7,45.1
